Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
<b>Die Flut - Was vor 5 Jahren geschah</b>,https://ga.de/imgs/93/1/1/1/8/3/6/9/0/7/tok_aaf986f3c7acac3f1338363779c4c92e/w1200_h790_x600_y394_DPA_bfunk_dpa_5FA5DE000E61E57A-5731772d43909911.jpg,"Die Gemeinde Schuld, in der das Wasser laut Bürgermeister Helmut Lussi 7,87 Meter hoch stand. (dpa/Christoph Reichwein)",,"Am 14. Juli 2021 kam der Regen – in bisher unbekannten Mengen. Und daraus wurde eine Katastrophe, die mehr als 180 Menschenleben forderte. Die Ereignisse überschlugen sich, bei den Betroffenen wie den Einsatzkräften. Aus Schilderungen von Augenzeugen, Berichten aus der GA-Redaktion sowie Angaben von offiziellen Stellen <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/eine-chronik-der-hochwasser-katastrophe_aid-61881995"" target=""_blank"">hat der GA eine Chronik dieser Stunden erstellt, so vollständig wie das angesichts der Lage möglich war.</a>",11,,,,50.450109,6.888783,,,,color:red;weight:3
,https://ga.de/imgs/93/1/2/0/9/8/0/4/8/3/tok_27fbc30d418ccd19a1332d7c0eea6ffc/w1200_h815_x599_y406_GA_AHR_Flut_im_Ahrtal_hier_Rech-c4d195ab1979e8a0.jpg,Nur einer von vielen zerstörten Orten: Rech im November 2021. (Martin Gausmann),,"Wie schlimm ist es? Erst ein halbes Jahr nach der Flut hat die Aufsichts- und Dienstleistungsdirektion eine Bilanz über die Schäden vorlegen können. <a href=""https://ga.de/region/ahr-und-rhein/flutschaeden-bilanz-des-schreckens-an-der-ahr_aid-64945969"" target=""_blank"">Darin geht die Landesbehörde allein für das Ahrtal von 42.000 betroffenen Menschen aus - und von Sachschäden in Milliardenhöhe.</a>",,,,,50.542848,7.132097,,,,
<b>Die Nacht der Katastrophe</b>,,,,"Vor allem in der Nacht vom 14. auf den 15. Juli 2021, kämpften die Menschen gegen das Wasser, von der oberen Ahr bis zur Mündung in Sinzig, von der Steinbachtalsperre bis an die Swist. Am Ende gewannen die Elemente oftmals. Ob als Feuerwehrmann im Einsatz oder Ortsvorsteher: Die meisten waren irgendwann hilflos. Ihre Erinnerungen geben einen oftmals beklemmenden Einblick in diese Stunden.",,,,,,,,,,
,https://ga.de/imgs/93/1/1/4/8/5/9/2/8/9/tok_2fd8ebb07f041b68af29b13f433744ac/w1100_h825_x1796_y1347_Flut_Feuerwehr_Heimerzheim2-190ad64314a577ef.jpg,Kein Durchkommen in Swisttal-Essig. Das Bild zeigt den Blick aus dem Fahrzeug der Feuerwehr Heimerzheim. (Feuerwehr Swisttal),,"Die Mitglieder der Löschgruppe Heimerzheim aus Swisttal treten in der Nacht an, um Menschen zu retten. In vielen Fällen gelingt es ihnen. Bis sie selbst von den Wassermassen eingeschlossen sind.<a href=""https://ga.de/region/voreifel-und-vorgebirge/swisttal/hochwasser-loeschgruppe-heimerzheim-vom-hochwasser-eingeschlossen_aid-62859545"" target=""_blank"">Löschgruppenführer Jens Koßmann erinnert sich an den Einsatz: „Dann standen wir da, und konnten niemanden mehr helfen.""</a>",18,,,,50.664966,6.893657,,,,
,,,,"Auch die Feuerwehr in Bad Neuenahr-Ahrweiler kam in dieser Nacht an ihre Grenzen. Marcus Mandt war deren Chef in diesen Stunden. „Die Notrufe kamen im Sekundentakt"", beschreibt er die Lage. Die Tage danach waren nicht einfacher, <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/feuerwehrmann-aus-bad-neuenahr-ahrweiler-ueber-die-flut-im-interview_aid-64277931"" target=""_blank"">mit hunderten Einsatzkräften im letzten großen Feuerwehrhaus der Flutregion, das noch nutzbar war.</a>",16,,,,50.548784,7.12916,,,,
,https://ga.de/imgs/93/1/3/5/2/6/3/8/9/1/tok_7ca382661069a0409398a264cf7c7b1b/w1890_h3034_x800_y1115_OrbachFlut2021-0ce7b8553d7b3cc6.jpg,In Swisttal-Odendorf hat der Orbach die Straße metertief überflutet. Normalerweise verläuft er im Sommer als Rinnsal weit unten in seinem Bett. (Arletta Kößling),,"Die Feuerwehr in Swisttal-Odendorf wird schon um 14.30 Uhr zu den ersten vollgelaufenen Kellern alarmiert. Ab 19 Uhr hat das Wasser den Ort übernommen. Die Rettungskräfte tun, was sie können. Als gegen zwei Uhr die Nachricht kommt, der Ort müsse evakuiert werden, ist das nicht mehr möglich, <a href=""https://ga.de/region/voreifel-und-vorgebirge/swisttal/ein-jahr-nach-der-flut-in-odendorf-feuerwehr-blickt-zurueck_aid-72130059"" target=""_blank"">erinnern sich zwei Feuerwehrleute noch ein Jahr später.</a>",18,,,,50.648139,6.884267,,,,
,,,,"Während die Feuerwehren tun, was sie können, ist Ulrich Stieber, damals Ortsvorsteher von Bachem, in Bad Neuenahr vom Wasser eingeschlossen. Er rettet sich auf die Zapfsäule einer Tankstelle, <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/bachem-ortsvorsteher-erzaehlt-erstmals-von-flutnacht-auf-zapfsaeule_aid-76405965"" target=""_blank"">muss dort sechs Stunden ausharren, erzählte er später am GA-Redaktionsmobil.</a>",18,,,,50.542466,7.114562,,,,
,https://ga.de/imgs/93/1/1/4/8/4/9/7/0/7/tok_87b7981df625bbca3224ee98862f9616/w1900_h1425_x2384_y1592_GA_VR_Unwetter21_Rheinbach6-b54d673e534416a1.jpg,In Rheinbach überflutete der Gräbbach die Innenstadt schon am späten Nachmittag. (Axel Vogel),,"In Rheinbach beginnt der Dienst für Polizist Martin Münch mit Straßensperrungen. Und endete eingeschlossen in der Polizeiwache. <a href=""https://ga.de/region/voreifel-und-vorgebirge/rheinbach/hochwasser-in-rheinbach-so-hat-ein-polizist-die-flutnacht-erlebt_aid-62852701"" target=""_blank"">Hier harrt er mit ein paar Leuten aus, die irgendwie bei ihm gelandet sind - Ablösung oder Hilfe kommt nicht mehr durch.</a>",,,,,50.627326,6.948419,,,,
<b>Hilflos in den Fluten</b>,https://ga.de/imgs/93/1/1/2/4/4/4/5/3/1/tok_365fea90ed0037ca1623f61b2afbe703/w909_h1200_x454_y599_14_Stunden-1a24dc9db6813e1b.jpg,Guido Laudien erlebte die Flutnacht in Dernau. (Victor Francke),,"Auch zu Guido Laudien gibt es keinen Weg mehr - und für ihn keine Flucht. In seinem Haus bei Dernau ist er so schnell von der Flut eingeschlossen, dass er sich nur noch über die Regenrinne aufs Dach retten kann. Dort harrt er auf dem Dachfirst aus, über Stunden. <a href=""https://ga.de/region/ahr-und-rhein/mehr-von-ahr-und-rhein/flutkatastrophe-in-ahrweiler-wie-ein-dernauer-knapp-ueberlebte_aid-62091867"" target=""_blank"">Er riecht das Öl, das Benzin, den Modergeruch des Flusses, er hört die Rufe und die Schreie von Menschen im nahen Dernau, er sieht in der Ferne den Schein von Taschenlampen.</a>",16,,,,50.525647,7.042803,,,,
,https://cdn.julephosting.de/podcasts/307-die-flut-100-tage-danach/18951-episode.json?v=1,,,"Es sind apokalyptische Bilder, die in dieser Nacht überall entstehen. In Mayschoß steigt ein Bürgermeister auf das Dach seines Hauses. Ein Vermieter von Ferienwohnungen sitzt am Niedertor fest: In den persönlichen Schilderungen der Betroffenen im GA-Podcast wird die Flutnacht noch einmal aus einer ganz nahen Perspektive lebendig. <a href=""https://ga.de/podcasts/die-flut-100-tage-danach-die-nacht_aid-63645907"" target=""_blank"">In den persönlichen Schilderungen der Betroffenen im GA-Podcast wird die Flutnacht noch einmal aus einer ganz nahen Perspektive lebendig.</a>",,,,,,,,,,
